subject,TR,BOLD,hemisphere,faces
115825,53,"[10346.79003906 12043.47753906 11648.72949219 ... 10564.42285156
 10605.16601562 10780.79492188]",RH,[0.]
115825,54,"[ 9896.35058594 11791.27050781 11719.64453125 ... 10470.29492188
 10521.59863281 10576.4296875 ]",RH,[0.]
115825,55,"[10230.40332031 12052.07617188 11862.83789062 ... 10300.52246094
 10360.41992188 10473.04589844]",RH,[0.]
115825,56,"[ 9769.3203125  12035.4765625  11955.51269531 ... 10644.38378906
 10848.12402344 10845.59863281]",RH,[0.]
115825,57,"[10078.53027344 12015.69628906 11976.609375   ... 10709.09472656
 10765.04492188 10783.02246094]",RH,[0.]
115825,58,"[ 9922.72558594 11951.93164062 11857.10058594 ... 10424.71777344
 10460.43945312 10645.84179688]",RH,[0.]
115825,59,"[10177.71386719 12002.90917969 11936.01269531 ... 10253.30957031
 10497.40332031 10375.10253906]",RH,[0.]
115825,60,"[10060.12109375 11801.80175781 11819.81835938 ... 10740.60644531
 10770.60058594 10898.1640625 ]",RH,[0.]
115825,61,"[10133.20019531 12123.06933594 12002.16796875 ... 10711.18261719
 10796.72949219 10885.40625   ]",RH,[0.]
115825,62,"[10378.15234375 11928.52929688 11965.48339844 ... 10811.76855469
 10911.28125    10973.77832031]",RH,[0.]
115825,63,"[10392.52148438 11752.95996094 11623.484375   ... 10723.42773438
 10676.63769531 10746.4375    ]",RH,[1.]
115825,64,"[10151.51757812 11724.19726562 11545.46777344 ... 11026.73730469
 10955.02734375 10837.86816406]",RH,[0.]
115825,65,"[10034.90917969 12332.23046875 11992.48339844 ... 10484.87402344
 10527.03613281 10662.96289062]",RH,[1.]
115825,66,"[10082.08496094 11763.68945312 11890.015625   ... 10588.16015625
 10588.91796875 10744.953125  ]",RH,[1.]
115825,67,"[10225.67871094 11999.35644531 11901.76367188 ... 10747.80273438
 10688.64550781 10823.76953125]",RH,[1.]
115825,68,"[10235.60546875 11866.85351562 11651.18359375 ... 10836.52148438
 10836.73632812 10791.49707031]",RH,[1.]
115825,69,"[10080.59179688 11919.98730469 11857.70410156 ... 10783.91113281
 10728.80957031 10724.78222656]",RH,[1.]
115825,70,"[10251.79589844 11981.74804688 11964.53222656 ... 10402.47265625
 10502.80664062 10358.27539062]",RH,[1.]
115825,71,"[10062.93554688 12089.28613281 11941.47753906 ... 10503.07519531
 10582.38378906 10626.65332031]",RH,[0.]
115825,72,"[ 9820.33789062 11942.13964844 11922.26855469 ... 10470.77734375
 10524.94140625 10698.94335938]",RH,[0.]
115825,73,"[10147.95605469 11638.93261719 11626.71972656 ... 10443.95996094
 10611.00878906 10516.51269531]",RH,[0.]
115825,74,"[ 9920.69921875 12113.27636719 11895.36914062 ... 10550.63476562
 10798.15917969 10643.02929688]",RH,[0.]
115825,75,"[10047.60839844 11739.8828125  11715.7109375  ... 10503.39453125
 10833.92382812 10654.69824219]",RH,[0.]
115825,76,"[10093.02539062 11929.3125     11930.25585938 ... 10767.70800781
 10851.94628906 10628.79296875]",RH,[0.]
115825,77,"[10160.98925781 12344.203125   12168.98535156 ... 10273.4765625
 10244.74414062 10341.98144531]",RH,[0.]
115825,78,"[ 9600.890625   12139.77734375 11986.70996094 ... 10624.18359375
 10826.41308594 10907.27246094]",RH,[0.]
115825,79,"[ 9864.05761719 12073.62597656 11938.36132812 ... 10523.28515625
 10632.4296875  10614.25292969]",RH,[1.]
115825,80,"[10002.58398438 11853.5        11788.24804688 ... 10187.45019531
 10243.91503906 10306.28710938]",RH,[0.]
115825,81,"[ 9911.05078125 11791.72265625 11663.76269531 ... 10361.85351562
 10450.44726562 10463.99023438]",RH,[0.]
115825,82,"[10223.62109375 12007.05371094 11881.90527344 ... 10721.04296875
 10755.82421875 10769.19824219]",RH,[0.]
115825,83,"[10125.71484375 11860.02441406 11814.98730469 ... 10640.34765625
 10730.42773438 10730.4765625 ]",RH,[0.]
115825,84,"[10242.00585938 12314.140625   12027.48828125 ... 10743.62011719
 10852.15527344 10856.51171875]",RH,[0.]
115825,85,"[ 9997.359375   12000.75976562 12011.60058594 ... 10423.75390625
 10536.74316406 10664.21484375]",RH,[0.]
115825,86,"[10207.05664062 12001.875      11841.59472656 ... 10430.56152344
 10566.69238281 10562.98730469]",RH,[0.]
115825,87,"[10111.17382812 12132.07617188 12106.54101562 ... 10853.27734375
 10818.16992188 11052.2734375 ]",RH,[0.]
115825,88,"[10112.58105469 12126.8359375  12021.72949219 ... 10713.95019531
 10893.85644531 10827.27441406]",RH,[0.]
115825,89,"[ 9983.51269531 12295.47167969 12096.62402344 ... 10978.16699219
 10881.58496094 10840.35546875]",RH,[0.]
115825,90,"[ 9950.27246094 12073.43066406 11938.49804688 ... 10448.39550781
 10516.06054688 10558.99316406]",RH,[0.]
115825,91,"[10156.90527344 12129.77832031 11877.65527344 ... 10547.0390625
 10634.72851562 10724.28613281]",RH,[0.]
115825,92,"[ 9878.27148438 11847.29980469 11754.51660156 ... 10834.9296875
 10912.484375   10764.43652344]",RH,[1.]
115825,93,"[ 9698.8203125  12368.95117188 12013.27539062 ... 10649.88378906
 10779.07226562 10582.94238281]",RH,[0.]
115825,94,"[ 9897.69042969 11776.64941406 11763.80664062 ... 10595.70117188
 10569.69042969 10648.13671875]",RH,[0.]
115825,95,"[ 9703.3203125  12100.15527344 11772.71679688 ... 10363.63476562
 10568.94628906 10639.43261719]",RH,[0.]
115825,96,"[10246.79980469 11821.63574219 11890.40136719 ... 10971.63769531
 11009.28417969 10906.78417969]",RH,[0.]
115825,97,"[10315.07128906 11743.72851562 11750.70507812 ... 10550.86230469
 10697.703125   10540.6484375 ]",RH,[0.]
115825,98,"[10226.94726562 11912.21679688 11912.65820312 ... 10786.81640625
 10810.20214844 10731.28808594]",RH,[0.]
115825,99,"[10109.56445312 12443.29394531 12292.98925781 ... 10470.86816406
 10368.85449219 10619.53027344]",RH,[0.]
115825,100,"[10446.67382812 11976.53613281 11836.15039062 ... 10679.83496094
 10538.26367188 10702.95214844]",RH,[0.]
115825,101,"[10258.70410156 11956.30957031 11832.55371094 ... 10903.45605469
 10786.57910156 10948.43945312]",RH,[0.]
115825,102,"[10329.05273438 12073.97460938 11986.8828125  ... 10666.08105469
 10484.36816406 10760.57519531]",RH,[0.]
115825,103,"[10082.10839844 11873.72851562 11886.88867188 ... 11016.97753906
 10991.71191406 11109.93457031]",RH,[0.]
115825,104,"[10298.51464844 11769.78613281 11870.03222656 ... 10955.51269531
 11026.30566406 10896.58398438]",RH,[1.]
115825,105,"[10067.390625   11861.69238281 11873.09277344 ... 10139.17773438
 10354.55761719 10262.25683594]",RH,[1.]
115825,106,"[10129.22558594 11738.57714844 11771.57128906 ... 10521.06152344
 10737.171875   10728.61132812]",RH,[1.]
115825,107,"[10143.46777344 12059.18847656 11948.25097656 ... 10808.78808594
 10775.26367188 10844.57421875]",RH,[1.]
115825,108,"[ 9859.3125     12055.88574219 12014.66503906 ... 10923.54980469
 10852.328125   10915.11328125]",RH,[1.]
115825,109,"[10198.47265625 12034.0078125  11929.13085938 ... 10815.63476562
 10817.16699219 10954.27441406]",RH,[1.]
115825,110,"[10185.2109375  11953.72167969 12030.50976562 ... 10624.55566406
 10694.74511719 10653.47363281]",RH,[1.]
115825,111,"[ 9787.64355469 11971.61816406 11892.71484375 ... 10499.05371094
 10609.71289062 10479.29296875]",RH,[1.]
115825,112,"[10249.33691406 11749.27539062 11717.00292969 ... 10161.13769531
 10270.70898438 10452.17871094]",RH,[1.]
115825,113,"[10402.5703125  11930.27050781 11882.7734375  ... 10576.76660156
 10456.02734375 10648.70703125]",RH,[0.]
115825,114,"[10363.12304688 12100.83984375 11836.27050781 ... 10497.4921875
 10550.90136719 10652.85644531]",RH,[0.]
115825,115,"[10311.06933594 11773.82324219 11614.97070312 ... 10188.5859375
 10373.17382812 10498.56933594]",RH,[0.]
115825,116,"[10091.08886719 12052.92089844 11800.55175781 ... 10268.76171875
 10297.48046875 10456.84667969]",RH,[0.]
115825,117,"[10311.81054688 11984.69433594 11881.10449219 ... 10793.92382812
 10824.56152344 10937.58691406]",RH,[0.]
115825,118,"[10189.32910156 11847.46484375 11480.73144531 ... 10490.92285156
 10700.29296875 10628.3203125 ]",RH,[0.]
115825,119,"[10071.72363281 11949.69824219 11689.04101562 ... 10627.98632812
 10825.33691406 10717.86523438]",RH,[0.]
115825,120,"[10089.20214844 12134.93457031 12076.19042969 ... 10897.42675781
 10815.75488281 10797.21679688]",RH,[0.]
115825,121,"[10366.41503906 12113.41699219 11953.11035156 ... 10630.97949219
 10712.38378906 10600.69238281]",RH,[0.]
115825,122,"[ 9789.07226562 11777.91210938 11819.24121094 ... 10530.40234375
 10528.18261719 10700.16796875]",RH,[0.]
115825,123,"[ 9876.94433594 12042.73144531 11881.77050781 ... 10651.66601562
 10873.67578125 10712.05175781]",RH,[0.]
115825,124,"[10145.14941406 11683.88867188 11632.45898438 ... 10662.828125
 10654.59863281 10701.75292969]",RH,[0.]
115825,125,"[10090.81054688 12247.90527344 12083.83398438 ... 10436.08398438
 10494.95800781 10648.90429688]",RH,[0.]
115825,126,"[10295.35644531 11899.72851562 11835.79589844 ... 10476.24609375
 10590.04882812 10535.11035156]",RH,[0.]
115825,127,"[10064.85449219 11897.21875    11979.55664062 ... 10528.19335938
 10706.39453125 10736.8359375 ]",RH,[0.]
115825,128,"[10174.27734375 11761.65136719 11904.12207031 ... 10710.33691406
 10721.54882812 10779.01757812]",RH,[0.]
115825,129,"[ 9930.79296875 11950.26855469 11802.31933594 ... 10330.390625
 10356.52539062 10536.00976562]",RH,[0.]
115825,130,"[ 9959.23632812 11518.66699219 11594.6640625  ... 10542.55761719
 10652.74804688 10612.53710938]",RH,[1.]
115825,131,"[ 9871.32519531 11925.70703125 11680.86914062 ... 10260.484375
 10320.58984375 10465.63183594]",RH,[1.]
115825,132,"[10031.90234375 12121.99804688 11948.17578125 ... 10921.42773438
 10835.32421875 11015.0078125 ]",RH,[1.]
115825,133,"[ 9914.64257812 11813.84082031 11994.88769531 ... 10362.41503906
 10558.08007812 10475.86230469]",RH,[1.]
115825,134,"[10295.98242188 12121.171875   11744.78125    ... 10717.93066406
 10722.74121094 10923.46386719]",RH,[1.]
115825,135,"[10126.515625   11995.14453125 11915.04589844 ... 10699.68359375
 10712.54003906 10770.04882812]",RH,[1.]
115825,136,"[ 9787.07128906 12039.140625   11902.61132812 ... 10588.79882812
 10731.29785156 10733.79394531]",RH,[1.]
115825,137,"[ 9862.87695312 11856.87597656 11816.75585938 ... 10396.53320312
 10522.39941406 10614.09667969]",RH,[0.]
115825,138,"[ 9892.72070312 11760.11328125 11812.30664062 ... 10375.95898438
 10544.70996094 10729.90820312]",RH,[0.]
115825,139,"[10580.28222656 12454.13769531 11987.51953125 ... 10336.29980469
 10594.04492188 10512.31542969]",RH,[0.]
115825,140,"[10144.29882812 11942.72167969 11723.98144531 ... 10580.65039062
 10556.58691406 10817.45703125]",RH,[0.]
115825,141,"[10133.31054688 12148.35546875 12147.86914062 ... 10890.90234375
 10760.81542969 10784.00488281]",RH,[0.]
115825,142,"[10273.80566406 11852.04296875 11847.54882812 ... 10587.78320312
 10711.59375    10858.87792969]",RH,[0.]
115825,143,"[ 9935.62402344 12015.11523438 12066.05273438 ... 10566.7734375
 10710.76660156 10783.46386719]",RH,[0.]
115825,144,"[10184.58007812 11997.26464844 12124.43164062 ... 10507.15136719
 10675.55175781 10701.91992188]",RH,[0.]
115825,145,"[10549.72167969 12230.00976562 12130.64648438 ... 10642.06640625
 10677.01269531 10818.35546875]",RH,[0.]
115825,146,"[10020.86816406 12220.30175781 11934.1171875  ... 10472.29492188
 10473.8828125  10588.41503906]",RH,[0.]
115825,147,"[10193.63183594 12170.35742188 12033.17480469 ... 10713.34863281
 10669.21582031 10584.84179688]",RH,[0.]
115825,148,"[10106.28613281 11828.58398438 11664.01855469 ... 10534.47851562
 10773.46777344 10579.54980469]",RH,[0.]
115825,149,"[10187.6640625  11887.4140625  11640.81542969 ... 10690.4296875
 10650.75976562 10915.29296875]",RH,[0.]
115825,150,"[10324.14941406 12060.17773438 11976.77050781 ... 10528.13183594
 10571.00976562 10543.35546875]",RH,[0.]
115825,151,"[10078.27929688 12050.48925781 11793.25683594 ... 10675.54199219
 10765.33398438 10728.375     ]",RH,[0.]
115825,152,"[10034.93066406 12067.87695312 11793.31054688 ... 10224.96484375
 10254.88671875 10489.62695312]",RH,[0.]
115825,153,"[10344.2421875  12054.66308594 12084.87011719 ... 10724.24902344
 10812.43652344 10640.70214844]",RH,[0.]
115825,154,"[10092.17480469 11796.58203125 11749.26367188 ... 10680.50878906
 10761.5078125  10691.71777344]",RH,[0.]
115825,155,"[10465.50488281 11985.76171875 11819.85839844 ... 10868.53515625
 10762.81152344 10801.61132812]",RH,[0.]
115825,156,"[10471.71972656 11686.07226562 11653.609375   ... 11072.4453125
 10888.51855469 11045.3046875 ]",RH,[0.]
115825,157,"[10165.30664062 12011.48925781 12010.94238281 ... 10693.33105469
 10764.75292969 10868.21289062]",RH,[1.]
115825,158,"[10005.89355469 11891.6640625  11752.65429688 ... 10554.77441406
 10621.25292969 10641.44140625]",RH,[1.]
115825,159,"[10085.24511719 11836.30371094 11773.953125   ... 10478.40820312
 10543.61425781 10475.12597656]",RH,[1.]
115825,160,"[10070.74511719 11699.3515625  11697.38867188 ... 10681.74121094
 10791.56152344 10794.95703125]",RH,[0.]
115825,161,"[ 9944.47070312 12209.96679688 12004.17773438 ... 10821.57617188
 10892.88476562 10915.8125    ]",RH,[0.]
115825,162,"[10365.54785156 11960.86230469 12029.19433594 ... 10645.74609375
 10789.8359375  10711.8125    ]",RH,[0.]
115825,163,"[10141.1875     11813.75195312 11857.765625   ... 10680.66113281
 10715.61132812 10877.56738281]",RH,[0.]
115825,164,"[10457.96972656 12056.93164062 11756.26855469 ... 10609.48535156
 10637.29199219 10719.16699219]",RH,[0.]
115825,165,"[10403.79296875 11989.90722656 11810.42871094 ... 10831.49316406
 10918.515625   10899.86914062]",RH,[0.]
115825,166,"[10515.92382812 12002.55371094 11919.11328125 ... 10358.84375
 10461.12304688 10616.16308594]",RH,[0.]
115825,167,"[10307.59472656 11711.80957031 11638.12109375 ... 10683.15429688
 10658.39160156 10672.57519531]",RH,[0.]
115825,168,"[10091.35253906 12167.14257812 12043.74414062 ... 10557.33691406
 10634.00488281 10589.90527344]",RH,[0.]
115825,169,"[10284.10839844 11962.5390625  11865.48242188 ... 10571.06835938
 10718.62597656 10832.75195312]",RH,[0.]
115825,170,"[10081.8984375  12112.5859375  11985.046875   ... 10717.81152344
 10802.71777344 10739.63964844]",RH,[0.]
115825,171,"[10234.15234375 11823.19433594 11792.36621094 ... 10586.9609375
 10542.28613281 10821.11523438]",RH,[0.]
115825,172,"[ 9895.01171875 11784.7265625  11753.30273438 ... 10492.77734375
 10587.78808594 10521.86132812]",RH,[0.]
115825,173,"[ 9950.57421875 12037.38867188 11769.49511719 ... 10681.82324219
 10692.62402344 10713.640625  ]",RH,[0.]
115825,174,"[10190.6328125  11714.15820312 11718.7265625  ... 10529.26464844
 10563.19726562 10676.84082031]",RH,[0.]
115825,175,"[10123.00585938 11926.10351562 11769.98144531 ... 10491.89453125
 10556.3359375  10611.81738281]",RH,[0.]
115825,176,"[10272.33496094 12305.25976562 12208.44921875 ... 11015.41796875
 10931.54980469 10865.36230469]",RH,[0.]
115825,177,"[10317.76367188 12091.32617188 12191.92773438 ... 10625.61425781
 10693.00390625 10702.37304688]",RH,[0.]
115825,178,"[10022.6796875  12373.63964844 12087.08007812 ... 10630.95117188
 10780.73242188 10688.35839844]",RH,[1.]
115825,179,"[10112.25195312 12048.89355469 11919.47558594 ... 10645.24511719
 10659.328125   10820.50195312]",RH,[0.]
115825,180,"[10034.94042969 11932.4609375  11773.10058594 ... 10389.16601562
 10528.00390625 10444.01953125]",RH,[0.]
115825,181,"[10154.99511719 12002.87890625 11873.59863281 ... 10479.96386719
 10600.41210938 10679.74804688]",RH,[0.]
115825,182,"[10156.46289062 11663.21582031 11755.36328125 ... 10817.86328125
 10882.00878906 10891.48925781]",RH,[1.]
115825,183,"[10079.8203125  11973.27246094 11853.38964844 ... 10580.70996094
 10596.53613281 10675.13183594]",RH,[1.]
115825,184,"[ 9929.55761719 11828.48535156 11745.47363281 ... 10221.56835938
 10410.78222656 10460.84082031]",RH,[1.]
115825,185,"[10154.63476562 11535.72070312 11529.28027344 ... 10757.38378906
 10750.98144531 10803.88183594]",RH,[0.]
115825,186,"[ 9895.88574219 12110.87890625 11972.984375   ... 10452.27050781
 10688.81054688 10522.88378906]",RH,[0.]
115825,187,"[10048.90136719 12028.26074219 11754.14160156 ... 10159.33496094
 10230.23242188 10353.63085938]",RH,[0.]
115825,188,"[ 9914.89648438 11838.76269531 11963.56835938 ... 10728.77734375
 10896.37109375 10809.21386719]",RH,[0.]
115825,189,"[10077.29199219 11854.62402344 11665.59082031 ... 10848.26367188
 10585.9609375  10686.86132812]",RH,[0.]
115825,190,"[ 9716.5546875  11894.02539062 11691.34472656 ... 10748.58105469
 10827.140625   10869.56445312]",RH,[0.]
115825,191,"[10028.31738281 11868.40136719 11780.39550781 ... 10617.55957031
 10615.40820312 10497.75195312]",RH,[0.]
115825,192,"[10103.03125    12170.62304688 12036.87597656 ... 10719.24902344
 10857.84863281 10538.08691406]",RH,[0.]
115825,193,"[ 9940.11621094 12135.31933594 11891.74511719 ... 10598.86132812
 10530.63378906 10535.73828125]",RH,[0.]
115825,194,"[ 9969.41210938 11833.75683594 11894.8671875  ... 10669.94140625
 10713.86914062 10640.46777344]",RH,[0.]
115825,195,"[10372.54003906 11630.97070312 11532.01757812 ... 10587.55175781
 10591.57128906 10668.5078125 ]",RH,[0.]
115825,196,"[10501.87695312 12035.24121094 11954.49804688 ... 10813.84277344
 10920.20703125 10841.74511719]",RH,[0.]
115825,197,"[10015.39257812 12086.6171875  11844.53320312 ... 10927.33105469
 10798.02148438 10960.43847656]",RH,[0.]
115825,198,"[10192.546875   11729.13085938 11582.63183594 ... 10335.96679688
 10338.20019531 10613.11328125]",RH,[0.]
115825,199,"[10097.74902344 11581.4453125  11855.83496094 ... 10532.03613281
 10599.328125   10640.57714844]",RH,[0.]
115825,200,"[10435.53222656 12004.97851562 11827.46679688 ... 10499.72558594
 10669.3828125  10679.24414062]",RH,[0.]
115825,201,"[10150.20117188 12144.83886719 11911.36132812 ... 10428.41601562
 10570.31542969 10493.35253906]",RH,[0.]
115825,202,"[10212.26464844 11970.85839844 11751.54296875 ... 10638.03808594
 10558.20214844 10797.734375  ]",RH,[0.]
115825,203,"[10017.07617188 12147.31054688 11961.23828125 ... 10623.8046875
 10864.64160156 10736.80859375]",RH,[0.]
115825,204,"[10410.49707031 12188.32617188 11989.20703125 ... 10695.9140625
 10596.73828125 10614.26953125]",RH,[0.]
115825,205,"[10036.85449219 11963.06933594 12076.06347656 ... 10601.1796875
 10570.92089844 10469.91015625]",RH,[1.]
115825,206,"[10222.26171875 11893.27734375 11924.875      ... 10698.13769531
 10815.19238281 10836.19628906]",RH,[0.]
115825,207,"[10471.28222656 12221.79492188 12083.78613281 ... 10606.4609375
 10811.1484375  10820.73730469]",RH,[0.]
115825,208,"[10376.29785156 12252.484375   12104.35351562 ... 10900.75097656
 10837.640625   11060.90429688]",RH,[0.]
115825,209,"[10068.7890625  11944.59375    11941.91796875 ... 10779.21972656
 10651.99121094 10808.0390625 ]",RH,[0.]
115825,210,"[ 9820.20898438 12193.02832031 12111.76269531 ... 10562.38671875
 10591.12695312 10518.97949219]",RH,[0.]
115825,211,"[ 9664.2578125  11626.38183594 11713.         ... 10391.87011719
 10482.38574219 10456.66796875]",RH,[1.]
115825,212,"[ 9893.86425781 12122.49023438 11931.53515625 ... 10466.88378906
 10559.00878906 10583.62695312]",RH,[1.]
115825,213,"[ 9881.27441406 12022.71191406 11682.94238281 ... 10671.6328125
 10784.22363281 10825.79199219]",RH,[0.]
115825,214,"[ 9972.3046875  11879.15136719 11916.59277344 ... 10440.15625
 10648.         10600.265625  ]",RH,[0.]
115825,215,"[10445.79296875 12196.55957031 11907.83203125 ... 10214.30664062
 10381.20996094 10475.05957031]",RH,[0.]
115825,216,"[10161.97167969 12051.453125   11994.3984375  ... 10361.6875
 10449.46386719 10513.22363281]",RH,[0.]
115825,217,"[10300.71972656 11721.70117188 11722.79394531 ... 10683.75
 10779.83984375 10863.08691406]",RH,[0.]
115825,218,"[10237.51367188 11818.93652344 11890.63378906 ... 10550.88964844
 10580.15332031 10700.29492188]",RH,[0.]
115825,219,"[10153.83496094 11707.76953125 11734.36230469 ... 10845.66894531
 10925.89648438 10816.62011719]",RH,[0.]
115825,220,"[10233.37988281 11736.34472656 11678.8046875  ... 10523.98535156
 10543.49804688 10688.76171875]",RH,[0.]
115825,221,"[10327.44824219 11780.57910156 11809.25292969 ... 10241.47949219
 10155.28613281 10283.14648438]",RH,[0.]
115825,222,"[10170.921875   11890.41601562 11857.22070312 ... 10069.26660156
 10155.99121094 10292.32910156]",RH,[0.]
115825,223,"[10206.76660156 12040.8671875  11921.50292969 ... 10587.74023438
 10736.703125   10669.63085938]",RH,[0.]
